sig_num_sap,sig_nom_bapteme,sig_capacite_totale,sig_cote_sol,sig_proprietaire,sig_gestionnaire,sig_annee_pose,indice_position,cellule_subnet,code_fonction,commentaire,centre_exploit,commune,adresse,precloca,coord_x,coord_y,gps_lat,gps_long,diponibilite,derctrl,proctrl,decompte,diamtre_trap,entreprise,entreprise_autre,implantation,acces,largeur,longueur,hauteur,alim_elec,mm_lien,stationnement,zf_nom,zone_delestage,ident,objectid,revetement,valide,nature,diam_nom,materiau,calorifuge
S00195501-B01,001955-B01,20,398,1014,1014,1900,3,,,,,63038,,,763231.27245619,635771.13483082,50.52160058,5.96558663,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={1ec944b7-0341-4590-a1da-3eee1773b9d2},,8,,BAT-1350,1350,X,,,,,
S00195201-B02,001952-B02,45,321.113,1014,1014,1900,5,,H,,,63038,,,760631.4826,636807.31355,50.53139627,5.92920672,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={6dde810c-2fc4-4b7e-b747-425cb690e2db},,8,,BAT-1351,1351,X,,,,,
S00195201-B01,001952-B01,,,1014,1014,1900,5,,,,,63038,,,760613.84075,636777.47155,50.53115956,5.92898799,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={f95c3235-42e7-4eeb-8ba5-d1cb754f4250},,8,,BAT-1352,1352,X,,,,,
S00219702-B02,002197-B03,,,1014,1014,1900,5,,,,,63073,,,758704.574575,621413.72309056,50.39342438,5.89757643,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={dd1e2180-55ff-48fa-8bbd-45afc8fff51c},,10,,BAT-1353,1353,X,,,,,
S00217201-B01,002172-B01,,,1014,1014,1900,3,,a,,,63073,,,765409.74352557,629906.34630519,50.46846635,5.99446715,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={da4720db-ed31-49f2-aed2-a8b76a1fd657},,10,,BAT-1354,1354,X,,,,,
S00219702-B01,002197-B02,100,,1014,1014,1900,5,,,,,63073,,,758748.7725,621383.94505,50.39313568,5.89816833,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={8fd450b3-6864-4d81-bdc0-90915454a77d},,10,,BAT-1355,1355,X,,,,,
S00218502-B01,,1,,1014,1014,1900,5,,H,,,63073,,,759739.95359043,621274.489725,50.39197454,5.91208364,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={14e5acfe-24ab-47e0-ac59-4cf593bba5e1},,10,,BAT-1356,1356,X,,,,,
S00219301-B01,S00219301-B01,120,,1014,1014,1900,4,,JH,,,63073,,,760359.37800811,621366.63468048,50.39266827,5.92083731,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={c7b3b62e-1a4b-430b-800d-d18a6b6ebc3d},,10,,BAT-1357,1357,X,2025-03-06T00:00:00,,,,
S00216001-B01,S00216001-B01,120,,1014,1014,1900,4,,H,,,63073,,,760514.01571204,622095.713275,50.39920654,5.92319829,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={ab379969-032c-4d69-ab28-0c2aaaee082c},,10,,BAT-1358,1358,X,,,,,
S00216002-B01,002160-B01,,,1014,1014,1900,5,,c,,,63073,,,760504.548725,622113.801892,50.39937821,5.92309052,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={c52c02e6-68ed-49a1-81d1-cb4c79f68814},,10,,BAT-1359,1359,X,,,,,
