objectid,type,code_eunis,travauxbiodivdebut,travauxbiodivfin,ident,ventesdebois,commune,num_sap,nom_sap,num_sap_anc,fiabilite,statut,observation,proprietaire,gestionnaire,natura2000code,natura2000nom,nom_agent_n2000,tel_agent_n2000,canton_dnf,triage_dnf,tel_canton_dnf,agent_dnf,tel_agent_dnf,gps_lat,gps_long,symbo,gestiondiff,complet,travauxbiodiversite,regime_forestier,tonte,fauchage_cla,fauchage_tar,haie,surface_etan,debrousaillement,plandeau,desherbage,demoussage,clotureconf1,cloturenconf1,portailconf,clotureconf2,clotureconf3,portailnconf,cloturenconf2,cloturenconf3,plantation,fosseterre,fossebeton,caniveau,avaloir,panneaupv,refplan,debroussaillement_tar,plandeautechnique,degagementcloture,deneigement,salage,mm_lien
19366,PPR,,,,TER-281,,Floreffe,S00170501,FRANIÈRE LT R60+SP DEMINCHE,001705-T01,5,regul,,,,,,,,NAM,SOYE,,,,,,PPR_autre,,,,,,,,,,1.3,,,13,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={3B179D4F-24DF-439B-AFEF-77B399411D9A}
19367,PPR,,,,TER-282,,Namur,S00171805,WÉPION LT CHT+SP CARACOLE,001718-T07,5,regul,,,,,,,,NAM,LA VECQUÉE,,,,,,PPR_autre,,,,,600,,,,,,,,100,,,,,,,,,,,,3,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={6FB5A3AC-DBBC-4663-A8D3-80429BCEA42E}
19368,PPR,,,,TER-283,,Namur,001684-T04,NAMUR LT T R100 VAUBAN,001684-T04,5,regul,,,,,,,,NAM,LA VECQUÉE,,,,,,PPR_autre,,,,,200,,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={AA5016CB-8E95-4454-84E9-AA8197873B6F}
19369,PPR,,,,TER-284,,Namur,S00168407,NAMUR LT CE105 CITADELLE,001684-T07,5,regul,,,,,,,,NAM,LA VECQUÉE,,,,,,PPR_autre,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={1B1BB91F-E81B-4C41-AF52-7A0C5D7213E9}
19371,PPR,,,,TER-286,,Namur,001686-T04,JAMBES LT T R+SP+HT SART-HULET,001686-T04,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,,10,,,,,,,10,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={B65A6F66-55AB-44DB-8987-9DD397532918}
19374,PPR,,,,TER-289,,Namur,001686-T03,JAMBES LT T SP BOIS BRÛLÉ,001686-T03,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,1600,,,,,,,,30,,,,,,,,,3,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={FA5B8B27-FBD4-4DD2-9EE0-0FEF96BAD829}
19375,PPR,,,,TER-290,,Namur,001686-T01,JAMBES LT T R50+SP LA PERCHE,001686-T01,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,400,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={DBEAAFAB-820A-4385-BA2F-B100349F0FD8}
19376,PPR,,,,TER-291,,Namur,001717-T04,LOYERS LT T R100+HYDROPHORE,001717-T04,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,1200,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={A8226FE4-A54F-4063-9722-9789FE3EB4D4}
19378,PPR,,,,TER-293,,Namur,001685-T01,JAMBES N LT T R500+SP BARBE,001685-T01,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,350,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={35971E5C-BFFD-4AF5-9A3D-5D06A0378490}
19379,PPR,,,,TER-294,,Namur,S00171701,LOYERS LT R20 LIVES R5,001717-T01,5,regul,,,,,,,,NAM,NANINNE,,,,,,PPR_autre,,,,,50,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={B62C3AFF-72D4-4ACD-8DC4-A5635F3C726B}
