objectid,cellule_id,cellule_nom,ilf,longueur,cellule_type,racc_nbr,delestage,commentaire,zde_code,prelevement,debit_correctif,debit_nuit_ref,indice_criticite,zf_nom,adduction,secteur,cellule_color,Projet,lng_km,ilp_calc,Type_Cell
408,55302930,MALMEDY AISANCE ARIMONT,2.23,7980.03719043,DIST,98,,,17825,,,,1,FAGNES,,,FUSCHIA,Cellule Distribution,7.98003719043,12.280644520996189,Rural
409,55302928,MALMEDY BERNISTER HYDRO,1.93,9070.44795367,DIST,85,2,,1088,,,,1,FAGNES,,,ORANGE,Cellule Distribution,9.07044795367,9.371091751384572,Rural
410,55302406,WAIMES OVIFAT,2.71,12518.20293646,DIST,202,,,1070,,,,1,FAGNES,,,FUSCHIA,Cellule Distribution,12.51820293646,16.13650146313439,Rural
412,55302935,MALMEDY AL GOFFE RECRA,1.97,3230.09599332,DIST,35,,,17825,,,,1,FAGNES,,,ORANGE,Cellule Distribution,3.23009599332,10.835591286569114,Rural
418,55302936,MALMEDY MALMEDY CENTRE,6.43,3901.59697923,DIST,186,,,17825,,,,1,FAGNES,,,BRUN,Cellule Distribution,3.9015969792300003,47.67278655129265,Mixte
422,55302947,MALMEDY XHOFFRAIX,2.27,17615.49694772,DIST,219,2,,17823,,,,1,FAGNES,,,CYAN,Cellule Distribution,17.61549694772,12.432235130803136,Rural
426,55302456,ST-VITH NEIDINGEN,2.6,5091.30450985,DIST,90,NONE,,1047,,,,1,FAGNES,,,ROUGE,Cellule Distribution,5.09130450985,17.67719841268178,Rural
428,55302952,MALMEDY AV MONBIJOU,4.18,13910.0747901,DIST,423,,,17825,,,,1,FAGNES,,,BLEU,Cellule Distribution,13.9100747901,30.409613634935678,Rural
429,55302402,WAIMES SOURBRODT PAR RUE HAUTE,2.66,7974.49176595,DIST,118,,,1070,,,,1,FAGNES,,,ROUGE,Cellule Distribution,7.97449176595,14.797181245310707,Rural
431,55302940,MALMEDY CROIX DE CHODES 472,2.58,4681.07191781,DIST,66,,,17825,,,,1,FAGNES,,,VERT,Cellule Distribution,4.68107191781,14.099334758966393,Rural
442,55302946,MALMEDY LONGFAYE,2.28,5320.84515165,DIST,69,NONE,,17823,,,,1,FAGNES,,,VERT,Cellule Distribution,5.3208451516499995,12.967864696946316,Rural
454,55103181,STAVELOT HOCKAI SURP,1.9,2460.23920175,DIST,21,2,,1088,,,,1,FAGNES,,,ORANGE,Cellule Distribution,2.4602392017500003,8.535755379014539,Rural
476,55302942,MALMEDY BEVERCE,2.85,2585.22692913,DIST,44,,,17825,,,,1,FAGNES,,,MAUVE,Cellule Distribution,2.58522692913,17.01978248184472,Rural
483,55302912,MALMEDY ST DONNAT R,1.99,8631.71619105,DIST,93,,,17836,,,,1,FAGNES,,,BRUN,Cellule Distribution,8.63171619105,10.774218931853813,Rural
488,55302943,MALMEDY FLORIHEID HTGRAV,3.8,4114,DIST,178,,,17825,,,,1,FAGNES,,,MAUVE,Cellule Distribution,4.114,43.266893534273215,Mixte
489,55302457,ST-VITH LOMMERSWEILER,2.78,6071.6418998,DIST,113,7,,1047,,,,1,FAGNES,,,CYAN,Cellule Distribution,6.0716418998,18.611110777748966,Rural
494,55302929,MALMEDY FERME LIBERT,2.74,2318.44202912,DIST,37,,,17825,,,,1,FAGNES,,,ORANGE,Cellule Distribution,2.31844202912,15.958992950987831,Rural
495,55302916,MALMEDY TAHON PRE LORET,2.32,4718.6784193,DIST,64,,,17825,,,,1,FAGNES,,,VERT_BOUTEILLE,Cellule Distribution,4.718678419300001,13.56311965194148,Rural
497,55302910,MALMEDY MONT,2.43,13440.18669911,DIST,189,2,,17823,,,,1,FAGNES,,,ROUGE,Cellule Distribution,13.440186699109999,14.06230465626757,Rural
500,55302948,MALMEDY ETANG VERS BEVER,4.05,10960.93026468,DIST,359,,,17825,,,,1,FAGNES,,,FUSCHIA,Cellule Distribution,10.96093026468,32.75269446397494,Rural
501,55102830,VIELSALM PETIT THIER,2.1,20624.78993898,DIST,238,2,,16674,,,,1,FAGNES,,,ROUGE,Cellule Distribution,20.62478993898,11.53951146674177,Rural
503,55302453,ST-VITH SETZ,2.52,4657.51391215,DIST,74,NONE,,1047,,,,1,FAGNES,,,ORANGE,Cellule Distribution,4.65751391215,15.888304661196416,Rural
504,55302455,ST-VITH BREIDFELD WIESENBACH,2.19,3079.0834054,DIST,43,NONE,,1047,,,,1,FAGNES,,,BLEU,Cellule Distribution,3.0790834054,13.965194942296122,Rural
508,55302914,MALMEDY LIGNEUVILLE HUBY,2.13,10609.55842295,DIST,137,,,17825,,,,1,FAGNES,,,CYAN,Cellule Distribution,10.60955842295,12.912884263274266,Rural
509,55302944,MALMEDY BRANTANO ALLIE,3.47,3638.29687523,DIST,98,,,17825,,,,1,FAGNES,,,CYAN,Cellule Distribution,3.63829687523,26.93567989660129,Rural
517,55103180,STAVELOT RESEAU HOCKAY,2.44,14734.08675825,DIST,210,2,,1088,,,,1,FAGNES,,,MAUVE,Cellule Distribution,14.73408675825,14.252664820397879,Rural
